"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"CD1A","CD1A",0.031734092,0,0.218569711738582,4.107134051,0.00740411648705236,0,0.00578909488922389,0,0.000956717158045223,0,0.985850071465678
"STAT3","STAT3",1.434186852,1.4331574,1.01974491835514,5.6824446,0.00726733156027846,0.00000000058483393108717,0.00041487986028117,0.000000028498036272493,0.00133464174152879,0.000000000261970707224314,0.990983117493071
"GZMB","GZMB",0.156990265,0,0.74686497764678,5.773260862,0.00726621909188216,0,0,0.0079868275025173,0.000000000559102014663429,0,0.984746952846498
"CDK6","CDK6",0.537206036,0.36938066,0.678925616900758,5.41280088,0.00719710550514223,0.000000000256669416744931,0.0000000250577783903575,0,0.00000000102703748789196,0.00000000196095661611958,0.992802866192416
"GZMK","GZMK",0.257565939,0,0.755762870569139,5.619924948,0.00718193725851359,0,0.00123153404707031,0.0106382674860143,0.008817438939109,0,0.972130822269293
"CXCL10","CXCL10",0.044994148,0,0.175832490793454,3.826197686,0.00713149213680742,0.00939171053240979,0,0,0.00558067542389783,0.000000000138123108786057,0.977896121768762
"TNFRSF9","TNFRSF9",0.114586167,0,0.322978716663636,4.476335708,0.00712106916498956,0,0,0.00000000204283370907876,0,0,0.992878928792177
"CD248","CD248",0.407001987,0.14087345,0.639587830421139,5.33893426,0.00705045715387645,0.000000000130577865165923,0,0,0.0186241854550988,0,0.974325357260447
"CDKN2B","CDKN2B",0.135292852,0.005812399,0.337438802465455,4.269257276,0.0070115955710554,0.0109030381853379,0,0.00177349572908942,0,0,0.980311870514517
"IL2RG","IL2RG",0.81207716,0.101648563,1.2938602427893,5.858667779,0.00700302545481276,0.00000000131351656490726,0.00788045281263699,0,0,0.000000000716508109607966,0.985116519702526
"TIGIT","TIGIT",0.255655596,0,0.715471416076431,6.010011817,0.00693764146993307,0.00112292808526271,0.000000352414800059081,0.00687621893660203,0.00693649589776407,0.00000000360886702305233,0.978126359586771
"IL10","IL10",0.11896141,0,0.281832368927584,2.330590225,0.00690617620223032,0.0143970987383196,0,0.000000000754657877181677,0,0.00000000113990622672845,0.978696723164886
"GPR34","GPR34",0.586645031,0.088065795,1.07015860185062,5.939561721,0.00683978375051714,0.000000000126830396181261,0,0,0.000000000421670325599717,0.0050752859207786,0.988084929780204
"CD3E","CD3E",0.58104793,0.006043982,1.3097550492803,5.858667779,0.00678493571495905,0.000749475855725989,0.0000697588675435474,0.0205245656095066,0.00780022337693748,0.0000000468746581272936,0.964070993700669
"CEACAM8","CEACAM8",0.153724459,0,0.55103330785425,6.465591146,0.00648449832715081,0.0223040130904088,0.0000000252023624862897,0.00000000140697359402449,0.00425443149005843,0,0.966957030483046
"TCF7","TCF7",0.301386652,0,0.7134489515351,4.853108545,0.00618418283461213,0,0.000000000305223063204203,0.00794998398022947,0.0152411994384264,0.000000000518547471387195,0.970624632922961
"IL2","IL2",0.090615683,0,0.214053704768278,2.014588554,0.00612772209509758,0.0000000010853862049589,0.00217210075255217,0.00877517932688903,0.000000000673187257271031,0,0.982924996066888
"IRF1","IRF1",0.70714421,0.39145955,0.924938857682401,6.42752559,0.00607120109470591,0.00321411572188236,0,0,0,0.0000000099881312156983,0.990714673195281
"CCR4","CCR4",0.222569761,0,0.644135177817474,6.322218886,0.00597997529917221,0.00399564912692307,0.00000000170997031403868,0,0.00368088103860208,0,0.986343492825332
