prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B1	B1	85	9.54266074520556e-103	6.58443591419184e-101	63.2460720372678	45.6686768254812	87.685065810273	4.47375159765154	3.82141265426748	4.14703302350163
CellCycle1	B1	1	1	1	0.567895578144348	0.0142199002030542	3.24780728032907	1.17798008566499	-4.25311287270099	-0.56581771845703
Endo1	B1	4	0.331567126519413	0.508402927329767	1.57230757275416	0.421640902681767	4.1296638932633	1.41819602188482	-0.863601268714775	0.452544331836985
Endo2	B1	7	0.675323998483191	0.783061717152332	1.17272598879744	0.466544379239735	2.4529390703464	0.897286926136391	-0.762402130872835	0.159330943744772
Endo4	B1	1	1	1	0.802145777493449	0.0199979756572287	4.63269277255161	1.53313829138262	-3.91212422768951	-0.220464920185133
Endo5	B1	28	0.0302347823416553	0.0695399993858072	0.664735993660986	0.438318828191906	0.969602560127173	-0.0308690232753865	-0.82480871516332	-0.408365319166
Endo6	B1	19	0.13779912124281	0.23190583818912	0.697503975163585	0.416885701627092	1.09920110647591	0.0945836491047186	-0.87494319157226	-0.360247066143594
Endo7	B1	6	0.080010472244543	0.157734930996385	0.478979901698497	0.174733357969141	1.05174040814572	0.0504463235474228	-1.74449413577006	-0.73609664132731
Endo8	B1	1	0.0172336118981907	0.0424685436062556	0.145427262851007	0.00367169259477336	0.817083145602796	-0.202014419896622	-5.6071025257486	-1.92807922904502
Endo9	B1	39	7.7626274532235e-34	1.78540431424141e-32	20.0862443463122	13.489176557963	29.3688523570829	3.37993466910089	2.60188762743465	3.00003521990324
Epi1	B1	1	0.460827432227027	0.599945147616318	1.65393522225508	0.0406180130290926	9.90053616423127	2.29258891367721	-3.20354364009987	0.50315743153896
F1	B1	8	0.00349552939960058	0.0126942909774968	3.40265781582247	1.43434121624854	6.93460008828994	1.93652338639245	0.360705661047201	1.22455683678159
F12	B1	3	0.128071369793134	0.23190583818912	2.48438312498779	0.498734867293487	7.60420342048777	2.02870117604213	-0.69568065250456	0.910024389290549
F13	B1	31	0.0240876303297281	0.0573119480259047	1.53768184918564	1.03386605340394	2.21005796935596	0.793018745663457	0.0333052255323954	0.430275989597592
F14	B1	36	0.680923232306376	0.783061717152332	0.911191161926346	0.632542171616907	1.27466304901461	0.242681868400862	-0.458008386109973	-0.0930025662746651
F15	B1	26	8.68623298254858e-09	8.56214393994075e-08	0.370516953514017	0.240471355495738	0.547210060636691	-0.602922527176344	-1.42515430049759	-0.992856076820502
