prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B1	B1	89	5.42628101040876e-92	1.7364099233308e-90	34.7125659662481	26.3564395950281	45.4589262485745	3.81680919844845	3.27171263203784	3.54710175299116
B2	B1	7	6.7330533318362e-05	0.000177202629454783	7.72989471751529	2.96232908759222	17.075783006919	2.83766126132605	1.08597581284501	2.04509524252149
DC	B1	12	7.95329707690659e-08	2.54505506461011e-07	8.44165331899668	4.18837327062055	15.56585456755	2.74507970553775	1.43231241764702	2.13317818030014
Endo1	B1	182	0.490628959946776	0.54138367994127	1.05557611476018	0.898308937218595	1.23440065662478	0.210585554005085	-0.107241241760962	0.0540866982218262
Endo2	B1	5	0.208070972549191	0.266330844862964	1.8247811323213	0.583832409752578	4.35483434250554	1.47128657112072	-0.538141306939316	0.601460052347399
Endo3	B1	4	0.668466074419114	0.713030479380388	0.717120153555719	0.194005999463063	1.85714244318931	0.619038985508136	-1.63986619532964	-0.332511874241252
EpiTumor1	B1	3	2.65166470453367e-25	2.12133176362693e-24	0.0427603046910643	0.00878140377234012	0.125265253472603	-2.07732176221986	-4.73511900116057	-3.15214506724113
EpiTumor2	B1	1	1.2433498143616e-21	7.95743881191427e-21	0.0185383222780848	0.000473629882247675	0.103504741819437	-2.26813785264563	-7.65508438042279	-3.98791521495176
F1	B1	65	2.37471500594757e-12	9.4988600237903e-12	0.452017370168408	0.346706341678617	0.580167550647582	-0.544438336732722	-1.05927713491355	-0.794034670312179
F2	B1	29	9.75123884629604e-19	5.20066071802455e-18	0.26336385264019	0.175635189197175	0.380146483044433	-0.96719861884481	-1.73934622379597	-1.33421873280263
F3	B1	303	7.6060793468686e-08	2.54505506461011e-07	0.713974088668845	0.627294064226675	0.810522958842828	-0.210075611442853	-0.466339846339839	-0.336908607680834
F4	B1	11	0.068105585428756	0.110337465140825	1.76649422457982	0.872388193125737	3.20675853278662	1.1652606240773	-0.136520778531508	0.568996918397519
L1	B1	6	0.0208560545331858	0.0417121090663717	2.90467954227507	1.04408166021661	6.52010890311766	1.87489107873123	0.0431377049998211	1.06632307174915
L2	B1	116	4.07723300648205e-33	6.52357281037129e-32	4.11129968239996	3.35395284568534	5.00115288891332	1.60966846363779	1.21013960417438	1.41373920294795
L3	B1	91	5.07083878114175e-18	2.31809772852194e-17	2.99564057117847	2.38525636163049	3.7233973016809	1.31463650466315	0.869306607717005	1.09715808889145
L4	B1	76	7.63982021088112e-33	8.14914155827319e-32	6.20447047084806	4.80922247528787	7.91022855601509	2.06815667592787	1.570535423502	1.82527007590911
L5	B1	2	0.119442426977731	0.173734439240337	3.49719341732051	0.406716920380743	13.6637975224997	2.61474981861819	-0.899637862850924	1.25196076605144
M1	B1	38	1	1	0.978762772905522	0.688100345693123	1.35372624058709	0.302860968366183	-0.373820600385916	-0.0214659815395216
M4	B1	46	0.0128026381710891	0.0273122947649901	0.690946299737803	0.502818925388628	0.928078323921161	-0.0746391489803687	-0.687525162981119	-0.369693172072545
M5	B1	10	0.237560636547407	0.292382321904501	0.658591486494741	0.314083330423499	1.22008067389589	0.1989169827031	-1.15809694476753	-0.417651835794027
M6	B1	32	0.0272683676965037	0.0484770981271178	1.51778314764194	1.02998318996588	2.1629626309385	0.771478870325379	0.029542481686893	0.417250814778018
M7	B1	6	0.0261945117934062	0.0484770981271178	2.7479994306748	0.988819233908616	6.15839109570448	1.81781555766823	-0.0112437406994713	1.01087316718206
M8	B1	80	0.00107834407095512	0.00246478644789741	1.49331543621832	1.17411626041194	1.87621452065623	0.629256194076542	0.160515745814531	0.400998773011733
Mast	B1	6	0.323114567762802	0.381654756524988	0.626059177062577	0.228433359073622	1.37424434695784	0.317904014203032	-1.47651075637663	-0.468310380301066
Meso	B1	8	6.71330122534505e-06	1.95296035646401e-05	0.271173713436955	0.116669686708735	0.536871325317062	-0.621996830845272	-2.14840852742695	-1.30499565446849
Peri	B1	114	0.160013846634029	0.222627960534301	1.14938989735927	0.939813769369239	1.39411889294366	0.332262597757137	-0.0620735410382886	0.139231277562072
Plasma1	B1	17	0.333947911959365	0.381654756524988	1.26032612459363	0.728603822868672	2.03737360839755	0.711661531520457	-0.31662514755255	0.231370516515491
Plasma2	B1	11	0.196012381906053	0.261349842541403	1.46823885948148	0.726152246555126	2.66011838849145	0.978370628754877	-0.319995580143774	0.384063627774803
Plasma3	B1	8	0.0875512100469987	0.133411367690665	1.85338428890156	0.790237522935871	3.71582933539174	1.31260189293022	-0.235421716766674	0.617013313228063
Stromal1	B1	10	0.0689609157130154	0.110337465140825	0.560270465343518	0.267361683332221	1.03723474263055	0.0365582706799451	-1.31915291802897	-0.579335638019551
Stromal2	B1	96	7.19885682160055e-05	0.000177202629454783	1.56761620594384	1.2584741207019	1.93333350464182	0.659245717492096	0.229899971775842	0.449556125350532
NA	B1	104	1	1	0.991349444287104	0.803311450669786	1.21217936917457	0.192419871065493	-0.219012781366699	-0.0086881889594778
B1	B2	8	2.14772904000843e-05	0.00011454554880045	7.39059944349264	3.13438473677284	14.9239862551376	2.70296973436797	1.1424328986113	2.00020884716334
B2	B2	11	4.89430509830227e-15	1.56617763145673e-13	49.6052773736761	23.1252184265087	97.5262078702922	4.58012114055358	3.14092372882453	3.90409722673377
DC	B2	1	0.356041920424138	0.495362671894453	2.29463431729214	0.0573744434215207	13.1622718339185	2.57735454275475	-2.85815631136272	0.830573491946197
